consumer_id,recommender_id,cycle,satisfaction_score,rec_state,controlled
598,popular_1_exp_Experiment_1_seed_42,1,0.055086248682514695,connected,mainstream
90,popular_1_exp_Experiment_1_seed_42,1,0.05698609574197978,connected,mainstream
365,popular_1_exp_Experiment_1_seed_42,1,0.054098189637806104,connected,mainstream
265,popular_1_exp_Experiment_1_seed_42,1,0.059093241072728696,connected,mainstream
415,popular_1_exp_Experiment_1_seed_42,1,0.06156458375971282,connected,mainstream
494,popular_1_exp_Experiment_1_seed_42,1,0.05318528626631227,connected,mainstream
66,popular_1_exp_Experiment_1_seed_42,1,0.05367436928150471,connected,mainstream
17,popular_1_exp_Experiment_1_seed_42,1,0.025631376398461553,connected,niche
356,popular_1_exp_Experiment_1_seed_42,1,0.05046153478814699,connected,mainstream
53,popular_1_exp_Experiment_1_seed_42,1,0.017056550275571288,connected,niche
4,popular_1_exp_Experiment_1_seed_42,1,0.02147587192976408,connected,niche
19,popular_1_exp_Experiment_1_seed_42,1,0.015919433111881244,connected,niche
240,popular_1_exp_Experiment_1_seed_42,1,0.053808337760868706,connected,mainstream
6,popular_1_exp_Experiment_1_seed_42,1,0.017274955855936965,connected,niche
252,popular_1_exp_Experiment_1_seed_42,1,0.053921681609299534,connected,mainstream
411,popular_1_exp_Experiment_1_seed_42,1,0.055097231600297385,connected,mainstream
376,popular_1_exp_Experiment_1_seed_42,1,0.05137480256250381,connected,mainstream
220,popular_1_exp_Experiment_1_seed_42,1,0.05117136752156534,connected,mainstream
373,popular_1_exp_Experiment_1_seed_42,1,0.05936529299789966,connected,mainstream
16,popular_1_exp_Experiment_1_seed_42,1,0.01818259592995496,connected,niche
1,popular_1_exp_Experiment_1_seed_42,1,0.013527367164352912,connected,niche
28,popular_1_exp_Experiment_1_seed_42,1,0.02039904196198775,connected,niche
306,popular_1_exp_Experiment_1_seed_42,1,0.05577893165109973,connected,mainstream
2,popular_1_exp_Experiment_1_seed_42,1,0.0223673943309084,connected,niche
562,popular_1_exp_Experiment_1_seed_42,1,0.05642021270410801,connected,mainstream
513,popular_1_exp_Experiment_1_seed_42,1,0.04915532830646291,connected,mainstream
308,popular_1_exp_Experiment_1_seed_42,1,0.05674403931033888,connected,mainstream
379,popular_1_exp_Experiment_1_seed_42,1,0.05140095450692233,connected,mainstream
375,popular_1_exp_Experiment_1_seed_42,1,0.057436246483723495,connected,mainstream
