customer_id,recommender_id
511,popular_1_exp_Experiment_1_seed_42
171,popular_1_exp_Experiment_1_seed_42
30,popular_1_exp_Experiment_1_seed_42
46,popular_1_exp_Experiment_1_seed_42
227,popular_1_exp_Experiment_1_seed_42
459,popular_1_exp_Experiment_1_seed_42
534,popular_1_exp_Experiment_1_seed_42
293,popular_1_exp_Experiment_1_seed_42
520,popular_1_exp_Experiment_1_seed_42
494,popular_1_exp_Experiment_1_seed_42
379,popular_1_exp_Experiment_1_seed_42
282,popular_1_exp_Experiment_1_seed_42
240,popular_1_exp_Experiment_1_seed_42
323,popular_1_exp_Experiment_1_seed_42
120,popular_1_exp_Experiment_1_seed_42
51,popular_1_exp_Experiment_1_seed_42
298,popular_1_exp_Experiment_1_seed_42
59,popular_1_exp_Experiment_1_seed_42
442,popular_1_exp_Experiment_1_seed_42
281,popular_1_exp_Experiment_1_seed_42
597,popular_1_exp_Experiment_1_seed_42
244,popular_1_exp_Experiment_1_seed_42
179,popular_1_exp_Experiment_1_seed_42
81,popular_1_exp_Experiment_1_seed_42
219,popular_1_exp_Experiment_1_seed_42
204,popular_1_exp_Experiment_1_seed_42
556,popular_1_exp_Experiment_1_seed_42
126,popular_1_exp_Experiment_1_seed_42
576,popular_1_exp_Experiment_1_seed_42
416,popular_1_exp_Experiment_1_seed_42
132,popular_1_exp_Experiment_1_seed_42
32,popular_1_exp_Experiment_1_seed_42
594,popular_1_exp_Experiment_1_seed_42
79,popular_1_exp_Experiment_1_seed_42
1,popular_1_exp_Experiment_1_seed_42
484,popular_1_exp_Experiment_1_seed_42
585,popular_1_exp_Experiment_1_seed_42
143,popular_1_exp_Experiment_1_seed_42
473,popular_1_exp_Experiment_1_seed_42
141,popular_1_exp_Experiment_1_seed_42
326,popular_1_exp_Experiment_1_seed_42
61,popular_1_exp_Experiment_1_seed_42
432,popular_1_exp_Experiment_1_seed_42
199,popular_1_exp_Experiment_1_seed_42
452,popular_1_exp_Experiment_1_seed_42
471,popular_1_exp_Experiment_1_seed_42
105,popular_1_exp_Experiment_1_seed_42
146,popular_1_exp_Experiment_1_seed_42
578,popular_1_exp_Experiment_1_seed_42
410,popular_1_exp_Experiment_1_seed_42
221,popular_1_exp_Experiment_1_seed_42
297,popular_1_exp_Experiment_1_seed_42
210,popular_1_exp_Experiment_1_seed_42
15,popular_1_exp_Experiment_1_seed_42
254,popular_1_exp_Experiment_1_seed_42
402,popular_1_exp_Experiment_1_seed_42
457,popular_1_exp_Experiment_1_seed_42
334,popular_1_exp_Experiment_1_seed_42
524,popular_1_exp_Experiment_1_seed_42
472,popular_1_exp_Experiment_1_seed_42
336,popular_1_exp_Experiment_1_seed_42
527,popular_1_exp_Experiment_1_seed_42
283,popular_1_exp_Experiment_1_seed_42
52,popular_1_exp_Experiment_1_seed_42
461,popular_1_exp_Experiment_1_seed_42
12,popular_1_exp_Experiment_1_seed_42
514,popular_1_exp_Experiment_1_seed_42
54,popular_1_exp_Experiment_1_seed_42
393,popular_1_exp_Experiment_1_seed_42
437,popular_1_exp_Experiment_1_seed_42
216,popular_1_exp_Experiment_1_seed_42
488,popular_1_exp_Experiment_1_seed_42
309,popular_1_exp_Experiment_1_seed_42
547,popular_1_exp_Experiment_1_seed_42
552,popular_1_exp_Experiment_1_seed_42
21,popular_1_exp_Experiment_1_seed_42
278,popular_1_exp_Experiment_1_seed_42
375,popular_1_exp_Experiment_1_seed_42
455,popular_1_exp_Experiment_1_seed_42
